doi,battery_chemistry_cathode,manufacturer,form_factor,ambient_temperature_experiments,state_of_charge_mentioned,record_id,paper_title,paper_type,review_notes
10.1016/j.energy.2016.12.110,LFP,EIG,high-power pouch cell,25 C,"25%, 50%, 75% for EIS; cycling range not clearly stated",10.1016/j.energy.2016.12.110,Influence analysis of static and dynamic fast-charging current profiles on ageing performance of commercial lithium-ion batteries,Experimental,SOC entry distinguishes explicitly reported EIS levels from the cycling window.
10.1109/TIE.2018.2807419,Li-ion polymer; metal-oxide cathode not specified,n/s,Li-polymer pouch,"0, 23, 45 C",n/s,10.1109/TIE.2018.2807419,Search for Optimal Pulse Charging Parameters for Li-Ion Polymer Batteries Using Taguchi Orthogonal Arrays,Experimental,Paper tracks SOC for termination but parsed text does not clearly state a single tested SOC window.
10.1016/j.jpowsour.2013.03.044,LFP,A123 Systems,cylindrical high-power cell,23 C,approximately 0-100%,10.1016/j.jpowsour.2013.03.044,Fast charging technique for high power lithium iron phosphate batteries: A cycle life analysis,Experimental,Manufacturer and chemistry explicitly reported.
10.1038/s41586-020-1994-5,LFP/graphite,A123 Systems,APR18650M1A cylindrical 18650,30 C,0-80%,10.1038/s41586-020-1994-5,Closed-loop optimization of fast-charging protocols for batteries with machine learning,Computational,Ten-minute protocols use 0-80% SOC.
10.1016/j.joule.2019.09.021,NMC/graphite,EC Power,9.5 Ah pouch cell,ambient approximately 25 C; cell heated/charged at 60 C,0-80%,10.1016/j.joule.2019.09.021,Asymmetric Temperature Modulation for Extreme Fast Charging of Lithium-Ion Batteries,Thermal,Source PDF: Yang et al. 2019 thermal 21 Separates ambient temperature from controlled cell charging temperature.
10.1109/TIE.2012.2186106,"LCO, LMO",SANYO UR18650W,commercial cylindrical Li-ion cell,room temperature (exact value n/s),n/s,10.1109/TIE.2012.2186106,Sinusoidal-Ripple-Current Charging Strategy and Optimal Charging Frequency Study for Li-Ion Batteries,Experimental,Exact cathode and manufacturer not identified clearly in parsed text.
10.1016/j.jpowsour.2021.230466,NMC/graphite,EC Power,9.5 Ah pouch cell,multiple thermal environments; approximately -20 to 60 C,0-80% fast-charge cases,10.1016/j.jpowsour.2021.230466,Effect of thermal environments on fast charging Li-ion batteries,Thermal,Source PDF: Liu et al 2021 thermal 19 Paper studies imposed thermal environments rather than one ambient condition.
10.1016/j.jpowsour.2014.10.185,LFP/graphite,A123 Systems,26650 cylindrical cell,25 C,n/s,10.1016/j.jpowsour.2014.10.185,Optimal charging method for lithium ion batteries using a universal voltage protocol accommodating aging,Experimental,Model/optimization paper using an A123-type LFP cell.
10.1016/j.est.2016.02.005,"multiple: LFP, NMC and LCO cell types",multiple manufacturers,three commercial high-power 18650 cylindrical cell types,25 C,various; protocol-dependent,10.1016/j.est.2016.02.005,Charging protocols for lithium-ion batteries and their impact on cycle life - An experimental study with different 18650 high-power cells,Experimental,One paper compares three cell chemistries; review source before using as a hard filter.
10.1016/j.jpowsour.2015.03.178,LFP/graphite,n/s,large-format prismatic cell,-10 C,n/s,10.1016/j.jpowsour.2015.03.178,Low temperature aging mechanism identification and lithium deposition in a large format lithium iron phosphate battery for different charge profiles,Experimental,Large-format cell; manufacturer is not clearly named in parsed text.
10.1109/TIE.2018.2833038,NCA,Samsung,INR18650-25R cylindrical 18650,ambient approximately 25 C,approximately 0-100%,10.1109/TIE.2018.2833038,A Closed-Loop Constant-Temperature Constant-Voltage Charging Technique to Reduce Charge Time of Lithium-Ion Batteries,Experimental,Paper labels the chemistry LiNiCoAlO2 (NCA).
10.1021/acsaem.0c03114,NMC/graphite,Argonne National Laboratory CAMP Facility,single-layer pouch / three-electrode laboratory cell,30 C,16-80%,10.1021/acsaem.0c03114,How Fast Can a Li-Ion Battery Be Charged? Determination of Limiting Fast Charging Conditions,Experimental,Experimental reference-electrode cell; not a commercial production cell.
10.1149/1945-7111/ac0bf4,NMC/graphite,Sony,US18650VTC5A cylindrical 18650,room temperature (exact value n/s),approximately 0-100% (2.0-4.2 V cycling),10.1149/1945-7111/ac0bf4,Stress-Regulated Protocols for Fast Charging and Long Cycle Life in Lithium-Ion Batteries: Modeling and Experiments,"Experimental, Computational",Source PDF: Gao et al. 2021 experimental computational Full DOI recovered from article text; front matter contained only journal prefix.
10.1109/TIE.2011.2172172,LFP/graphite,n/s,commercial cylindrical Li-ion cells,25 C,n/s,10.1109/TIE.2011.2172172,Impact of Periodic Current Pulses on Li-Ion Battery Performance,Experimental,Chemistry/manufacturer not clearly specified in parsed text.
